distributionName	smootherType	Width	numberOfHoldOutRun	avgTrainLoss	avgTestLoss	avgAccuracy	avgPrecision	avgRecall	avgF1	entryCount	elapsedTime
kernel	epanechnikov	0.1000	1	0.2338	0.2378	0.7600	0.7615	0.7729	0.7672	3200	21.6250
kernel	epanechnikov	0.1000	2	0.2333	0.2502	0.7502	0.7494	0.7632	0.7562	3200	42.1719
kernel	epanechnikov	0.1000	5	0.2341	0.2485	0.7526	0.7513	0.7654	0.7583	3200	106.7969
kernel	epanechnikov	0.0984	1	0.2305	0.2563	0.7434	0.7434	0.7593	0.7513	3200	21.6094
kernel	epanechnikov	0.0984	2	0.2327	0.2503	0.7489	0.7491	0.7625	0.7557	3200	41.4844
kernel	epanechnikov	0.0984	5	0.2333	0.2541	0.7465	0.7456	0.7617	0.7536	3200	105.5469
kernel	epanechnikov	0.0932	1	0.2352	0.2433	0.7566	0.7565	0.7714	0.7639	3200	20.9844
kernel	epanechnikov	0.0932	2	0.2355	0.2522	0.7475	0.7473	0.7608	0.7540	3200	41.9844
kernel	epanechnikov	0.0932	5	0.2336	0.2482	0.7515	0.7513	0.7671	0.7591	3200	105.5625
kernel	epanechnikov	0.0900	1	0.2355	0.2591	0.7422	0.7403	0.7555	0.7478	3200	21.0781
kernel	epanechnikov	0.0900	2	0.2341	0.2512	0.7473	0.7482	0.7632	0.7556	3200	41.9375
kernel	epanechnikov	0.0900	5	0.2340	0.2496	0.7515	0.7500	0.7663	0.7581	3200	106.0625
kernel	epanechnikov	0.8000	1	0.4197	0.4215	0.5778	0.5774	0.6276	0.6015	3200	40.2656
kernel	epanechnikov	0.8000	2	0.4193	0.4174	0.5869	0.5821	0.6387	0.6091	3200	81.6094
kernel	epanechnikov	0.8000	5	0.4189	0.4258	0.5766	0.5734	0.6271	0.5991	3200	202.1875
