numberOfHoldOutRun	trainValidateProportion	maxNumSplit	splitCriterion	avgTrainAccuracy	avgTestAccuracy	misclassifiedEntryCount	entryCount	elapsedTime
1	0.80	50	deviance	0.5790	0.5778	1695.0000	4000	1.3906
1	0.80	100	deviance	0.6705	0.6666	1335.0000	4000	1.2813
1	0.80	150	deviance	0.7182	0.7090	1163.0000	4000	1.2031
1	0.80	175	deviance	0.7295	0.7198	1119.0000	4000	1.2500
1	0.80	200	deviance	0.7343	0.7227	1108.0000	4000	1.2344
1	0.80	225	deviance	0.7638	0.7499	1004.0000	4000	1.1406
1	0.80	250	deviance	0.7756	0.7542	986.0000	4000	1.0938
1	0.80	275	deviance	0.7842	0.7603	960.0000	4000	1.0313
1	0.80	300	deviance	0.7901	0.7658	938.0000	4000	1.1406
1	0.80	350	deviance	0.8134	0.7800	880.0000	4000	1.1094
1	0.80	400	deviance	0.8279	0.7943	826.0000	4000	1.3906
1	0.80	450	deviance	0.8372	0.8007	801.0000	4000	1.3281
1	0.80	500	deviance	0.8559	0.8159	740.0000	4000	1.2031
1	0.80	550	deviance	0.8701	0.8263	698.0000	4000	1.2344
1	0.80	600	deviance	0.8772	0.8324	673.0000	4000	1.2344
1	0.80	700	deviance	0.8991	0.8465	616.0000	4000	1.2656
1	0.80	800	deviance	0.9106	0.8539	588.0000	4000	1.2813
1	0.80	1000	deviance	0.9354	0.8662	538.0000	4000	1.3438
